4k高清,#genre#
财富天下,http://192.168.2.200:9988/rtp/232.0.0.37:8646
央广购物,http://192.168.2.200:9988/rtp/232.0.0.229:9284
优购物,http://192.168.2.200:9988/rtp/232.0.0.54:8648
家庭理财,http://192.168.2.200:9988/rtp/232.0.0.197:9212
家庭理财,http://192.168.2.200:9988/rtp/232.0.0.19:8688
家有购物,http://192.168.2.200:9988/rtp/232.0.0.109:8702
游戏风云,http://192.168.2.200:9988/rtp/232.0.0.139:9302
中华特产,http://192.168.2.200:9988/rtp/232.0.0.247:9136
金色学堂,http://192.168.2.200:9988/rtp/232.0.0.141:9306
聚鲨环球精选,http://192.168.2.200:9988/rtp/232.0.0.193:9204
轮播1,http://192.168.2.200:9988/rtp/232.0.0.119:8872
轮播2,http://192.168.2.200:9988/rtp/232.0.0.91:8746
轮播3,http://192.168.2.200:9988/rtp/232.0.0.154:9318
轮播4,http://192.168.2.200:9988/rtp/232.0.0.118:8870
轮播5,http://192.168.2.200:9988/rtp/232.0.0.105:8826
